Company,IS_PARTIAL_OWNER_OF,Company
0000070858,IS_PARTIAL_OWNER_OF,0000818972
0000070858,IS_PARTIAL_OWNER_OF,0001181024
0000070858,IS_PARTIAL_OWNER_OF,0001179126
0000070858,IS_PARTIAL_OWNER_OF,0001177214
0000070858,IS_PARTIAL_OWNER_OF,0001231160
0000070858,IS_PARTIAL_OWNER_OF,0001090119
0000070858,IS_PARTIAL_OWNER_OF,0000894351
0000070858,IS_PARTIAL_OWNER_OF,0001074540
0000070858,IS_PARTIAL_OWNER_OF,0000857361
0000070858,IS_PARTIAL_OWNER_OF,0001169029
0000070858,IS_PARTIAL_OWNER_OF,0001165383
0000070858,IS_PARTIAL_OWNER_OF,0001181505
0000070858,IS_PARTIAL_OWNER_OF,0001196366
0000070858,IS_PARTIAL_OWNER_OF,0001258943
0000070858,IS_PARTIAL_OWNER_OF,0001137885
0000070858,IS_PARTIAL_OWNER_OF,0001131063
0000070858,IS_PARTIAL_OWNER_OF,0001196874
0000070858,IS_PARTIAL_OWNER_OF,0000856227
0000070858,IS_PARTIAL_OWNER_OF,0000897424
0000070858,IS_PARTIAL_OWNER_OF,0001223026
0000070858,IS_PARTIAL_OWNER_OF,0000855887
0000070858,IS_PARTIAL_OWNER_OF,0000860188
0000070858,IS_PARTIAL_OWNER_OF,0000899761
0000070858,IS_PARTIAL_OWNER_OF,0000839122
0000070858,IS_PARTIAL_OWNER_OF,0000880845
0000070858,IS_PARTIAL_OWNER_OF,0001071899
0000070858,IS_PARTIAL_OWNER_OF,0001058234
0000070858,IS_PARTIAL_OWNER_OF,0000874143
0000070858,IS_PARTIAL_OWNER_OF,0001261166
0000070858,IS_PARTIAL_OWNER_OF,0001158728
0000070858,IS_PARTIAL_OWNER_OF,0000890897
0000070858,IS_PARTIAL_OWNER_OF,0000902719
0000070858,IS_PARTIAL_OWNER_OF,0001162027
0000070858,IS_PARTIAL_OWNER_OF,0000878242
0000070858,IS_PARTIAL_OWNER_OF,0000868449
0000070858,IS_PARTIAL_OWNER_OF,0001074685
0000070858,IS_PARTIAL_OWNER_OF,0001140410
0000070858,IS_PARTIAL_OWNER_OF,0000878201
0000070858,IS_PARTIAL_OWNER_OF,0000885734
0000070858,IS_PARTIAL_OWNER_OF,0000833251
0000070858,IS_PARTIAL_OWNER_OF,0001293613
0000070858,IS_PARTIAL_OWNER_OF,0001210123
0000070858,IS_PARTIAL_OWNER_OF,0001391461
0000070858,IS_PARTIAL_OWNER_OF,0000849998
0000070858,IS_PARTIAL_OWNER_OF,0000902750
0000070858,IS_PARTIAL_OWNER_OF,0001235511
0000070858,IS_PARTIAL_OWNER_OF,0000870778
0000070858,IS_PARTIAL_OWNER_OF,0001296250
0000070858,IS_PARTIAL_OWNER_OF,0000879819
0000070858,IS_PARTIAL_OWNER_OF,0001137391
0000070858,IS_PARTIAL_OWNER_OF,0000900422
0000070858,IS_PARTIAL_OWNER_OF,0000877463
0000070858,IS_PARTIAL_OWNER_OF,0000908993
0000070858,IS_PARTIAL_OWNER_OF,0001260729
0000070858,IS_PARTIAL_OWNER_OF,0000897421
0000070858,IS_PARTIAL_OWNER_OF,0001159040
0000070858,IS_PARTIAL_OWNER_OF,0000880893
0000070858,IS_PARTIAL_OWNER_OF,0001137393
0000070858,IS_PARTIAL_OWNER_OF,0001213169
0000070858,IS_PARTIAL_OWNER_OF,0000884152
0000070858,IS_PARTIAL_OWNER_OF,0001176196
0000070858,IS_PARTIAL_OWNER_OF,0001395057
0000070858,IS_PARTIAL_OWNER_OF,0001227073
0000070858,IS_PARTIAL_OWNER_OF,0001171471
0000070858,IS_PARTIAL_OWNER_OF,0001169027
0000070858,IS_PARTIAL_OWNER_OF,0000895531
0000070858,IS_PARTIAL_OWNER_OF,0000897422
0000070858,IS_PARTIAL_OWNER_OF,0001379384
0000070858,IS_PARTIAL_OWNER_OF,0001087788
0000070858,IS_PARTIAL_OWNER_OF,0001190935
0000070858,IS_PARTIAL_OWNER_OF,0001176197
0000070858,IS_PARTIAL_OWNER_OF,0001224450
0000070858,IS_PARTIAL_OWNER_OF,0001178839
0000070858,IS_PARTIAL_OWNER_OF,0000794685
0000070858,IS_PARTIAL_OWNER_OF,0001265419
0000070858,IS_PARTIAL_OWNER_OF,0001090118
0000070858,IS_PARTIAL_OWNER_OF,0001263994
0000070858,IS_PARTIAL_OWNER_OF,0001319869
0000070858,IS_PARTIAL_OWNER_OF,0000825345
0000070858,IS_PARTIAL_OWNER_OF,0000898618
0000070858,IS_PARTIAL_OWNER_OF,0001333179
0000070858,IS_PARTIAL_OWNER_OF,0000861185
0000070858,IS_PARTIAL_OWNER_OF,0000898496
0000070858,IS_PARTIAL_OWNER_OF,0000898659
0000070858,IS_PARTIAL_OWNER_OF,0000885125
0000070858,IS_PARTIAL_OWNER_OF,0000876982
0000070858,IS_PARTIAL_OWNER_OF,0000842891
0000070858,IS_PARTIAL_OWNER_OF,0000880161
0000070858,IS_PARTIAL_OWNER_OF,0000894146
0000070858,IS_PARTIAL_OWNER_OF,0000883412
0000070858,IS_PARTIAL_OWNER_OF,0001116937
0000070858,IS_PARTIAL_OWNER_OF,0001266585
0000070858,IS_PARTIAL_OWNER_OF,0001089821
0000070858,IS_PARTIAL_OWNER_OF,0000874142
0000070858,IS_PARTIAL_OWNER_OF,0001074769
0000070858,IS_PARTIAL_OWNER_OF,0000806628
0000070858,IS_PARTIAL_OWNER_OF,0001364742
0000070858,IS_PARTIAL_OWNER_OF,0000890515
0000070858,IS_PARTIAL_OWNER_OF,0000862313
0000070858,IS_PARTIAL_OWNER_OF,0000897951
0000070858,IS_PARTIAL_OWNER_OF,0001267890
0000070858,IS_PARTIAL_OWNER_OF,0001177218
0000070858,IS_PARTIAL_OWNER_OF,0001294178
0000070858,IS_PARTIAL_OWNER_OF,0001157842
0000070858,IS_PARTIAL_OWNER_OF,0000885711
0000070858,IS_PARTIAL_OWNER_OF,0000878180
0000070858,IS_PARTIAL_OWNER_OF,0000905000
0000070858,IS_PARTIAL_OWNER_OF,0001090120
0000070858,IS_PARTIAL_OWNER_OF,0001174164
0000070858,IS_PARTIAL_OWNER_OF,0001254634
0000070858,IS_PARTIAL_OWNER_OF,0001161069
0000070858,IS_PARTIAL_OWNER_OF,0000882071
0000070858,IS_PARTIAL_OWNER_OF,0000879826
0000070858,IS_PARTIAL_OWNER_OF,0001166572
0000070858,IS_PARTIAL_OWNER_OF,0000860730
0000070858,IS_PARTIAL_OWNER_OF,0001171012
0000070858,IS_PARTIAL_OWNER_OF,0001364479
0000070858,IS_PARTIAL_OWNER_OF,0000894242
0000070858,IS_PARTIAL_OWNER_OF,0000844172
0000070858,IS_PARTIAL_OWNER_OF,0001176194
0000070858,IS_PARTIAL_OWNER_OF,0000879361
0000070858,IS_PARTIAL_OWNER_OF,0001089094
0000070858,IS_PARTIAL_OWNER_OF,0001074952
0000070858,IS_PARTIAL_OWNER_OF,0001255821
0000070858,IS_PARTIAL_OWNER_OF,0000899782
0000070858,IS_PARTIAL_OWNER_OF,0000877649
0000070858,IS_PARTIAL_OWNER_OF,0000895528
0000070858,IS_PARTIAL_OWNER_OF,0000912022
0000070858,IS_PARTIAL_OWNER_OF,0000880892
0000070858,IS_PARTIAL_OWNER_OF,0000314132
0000070858,IS_PARTIAL_OWNER_OF,0001410471
0000070858,IS_PARTIAL_OWNER_OF,0001348259
0000070858,IS_PARTIAL_OWNER_OF,0001399793
0000070858,IS_PARTIAL_OWNER_OF,0001119896
0000070858,IS_PARTIAL_OWNER_OF,0001391975
0000070858,IS_PARTIAL_OWNER_OF,0001251390
0000070858,IS_PARTIAL_OWNER_OF,0001391976
0000070858,IS_PARTIAL_OWNER_OF,0001251391
0000070858,IS_PARTIAL_OWNER_OF,0001213980
0000070858,IS_PARTIAL_OWNER_OF,0001036052
0000070858,IS_PARTIAL_OWNER_OF,0001103076
0000070858,IS_PARTIAL_OWNER_OF,0001116075
0000070858,IS_PARTIAL_OWNER_OF,0001383812
0000070858,IS_PARTIAL_OWNER_OF,0001304623
0000070858,IS_PARTIAL_OWNER_OF,0001021770
0000070858,IS_PARTIAL_OWNER_OF,0000074585
0000070858,IS_PARTIAL_OWNER_OF,0000914712
0000070858,IS_PARTIAL_OWNER_OF,0001289850
0000070858,IS_PARTIAL_OWNER_OF,0001115143
0000070858,IS_PARTIAL_OWNER_OF,0001142417
0000070858,IS_PARTIAL_OWNER_OF,0001035985
0000070858,IS_PARTIAL_OWNER_OF,0001056673
0000070858,IS_PARTIAL_OWNER_OF,0000230131
0000010456,IS_PARTIAL_OWNER_OF,0001527096
0000010456,IS_PARTIAL_OWNER_OF,0001620546
0000010456,IS_PARTIAL_OWNER_OF,0000891293
0000010456,IS_PARTIAL_OWNER_OF,0001130598
0000010456,IS_PARTIAL_OWNER_OF,0001293310
0000701985,IS_PARTIAL_OWNER_OF,0001856437
0000701985,IS_PARTIAL_OWNER_OF,0001483510
0000701985,IS_PARTIAL_OWNER_OF,0000881905
0000701985,IS_PARTIAL_OWNER_OF,0001137067
0000764478,IS_PARTIAL_OWNER_OF,0001327098
0000014930,IS_PARTIAL_OWNER_OF,0001057060
0000078890,IS_PARTIAL_OWNER_OF,0001436040
0000913142,IS_PARTIAL_OWNER_OF,0000913142
0000010795,IS_PARTIAL_OWNER_OF,0001872789
0000038777,IS_PARTIAL_OWNER_OF,0001517518
0000038777,IS_PARTIAL_OWNER_OF,0002008602
0000038777,IS_PARTIAL_OWNER_OF,0001794041
0000038777,IS_PARTIAL_OWNER_OF,0001547341
0000038777,IS_PARTIAL_OWNER_OF,0000828803
0000038777,IS_PARTIAL_OWNER_OF,0001819559
0000038777,IS_PARTIAL_OWNER_OF,0001762562
0000038777,IS_PARTIAL_OWNER_OF,0000943861
0000038777,IS_PARTIAL_OWNER_OF,0001282648
0000038777,IS_PARTIAL_OWNER_OF,0001504167
0000038777,IS_PARTIAL_OWNER_OF,0001379895
0000038777,IS_PARTIAL_OWNER_OF,0000030419
0000038777,IS_PARTIAL_OWNER_OF,0000906338
0000038777,IS_PARTIAL_OWNER_OF,0000356942
0000014693,IS_PARTIAL_OWNER_OF,0001835256
0001101215,IS_PARTIAL_OWNER_OF,0001870997
0001094831,IS_PARTIAL_OWNER_OF,0001690680
0000875045,IS_PARTIAL_OWNER_OF,0001358762
0000875045,IS_PARTIAL_OWNER_OF,0001001233
0000875045,IS_PARTIAL_OWNER_OF,0001597553
0000875045,IS_PARTIAL_OWNER_OF,0001714899
0000875045,IS_PARTIAL_OWNER_OF,0001681689
0000875045,IS_PARTIAL_OWNER_OF,0001061027
0000875045,IS_PARTIAL_OWNER_OF,0000921114
0001390777,IS_PARTIAL_OWNER_OF,0001578620
0001701605,IS_PARTIAL_OWNER_OF,0001577526
0002012383,IS_PARTIAL_OWNER_OF,0001864843
0001048477,IS_PARTIAL_OWNER_OF,0001369568
0001048477,IS_PARTIAL_OWNER_OF,0000920465
0000014272,IS_PARTIAL_OWNER_OF,0001280600
0000014272,IS_PARTIAL_OWNER_OF,0001274913
0000014272,IS_PARTIAL_OWNER_OF,0001129425
0000014272,IS_PARTIAL_OWNER_OF,0001164888
0000014272,IS_PARTIAL_OWNER_OF,0001452575
0000014272,IS_PARTIAL_OWNER_OF,0000761237
0000014272,IS_PARTIAL_OWNER_OF,0001131517
0001067983,IS_PARTIAL_OWNER_OF,0000927066
0001067983,IS_PARTIAL_OWNER_OF,0001014473
0001067983,IS_PARTIAL_OWNER_OF,0000908937
0001067983,IS_PARTIAL_OWNER_OF,0001082114
0001067983,IS_PARTIAL_OWNER_OF,0000047217
0001067983,IS_PARTIAL_OWNER_OF,0000797468
0001067983,IS_PARTIAL_OWNER_OF,0001560385
0001067983,IS_PARTIAL_OWNER_OF,0000832428
0001067983,IS_PARTIAL_OWNER_OF,0001640147
0001067983,IS_PARTIAL_OWNER_OF,0000070858
0001067983,IS_PARTIAL_OWNER_OF,0000036104
0001067983,IS_PARTIAL_OWNER_OF,0001390777
0001067983,IS_PARTIAL_OWNER_OF,0000092380
0001067983,IS_PARTIAL_OWNER_OF,0001570585
0001067983,IS_PARTIAL_OWNER_OF,0000027904
0001067983,IS_PARTIAL_OWNER_OF,0001616862
0001067983,IS_PARTIAL_OWNER_OF,0000072971
0001067983,IS_PARTIAL_OWNER_OF,0001534701
0001067983,IS_PARTIAL_OWNER_OF,0001637459
0001067983,IS_PARTIAL_OWNER_OF,0000104889
0001067983,IS_PARTIAL_OWNER_OF,0000216539
