News,MENTIONS,Event
3952,MENTIONS,2022_39
4001,MENTIONS,2016_11
4021,MENTIONS,2002_3
4021,MENTIONS,2006_4
4030,MENTIONS,2004_0
4053,MENTIONS,2009_0
4059,MENTIONS,2002_3
4071,MENTIONS,2006_4
4071,MENTIONS,2009_0
4080,MENTIONS,2022_5
4085,MENTIONS,2017_0
4085,MENTIONS,2021_5
4088,MENTIONS,2008_3
4088,MENTIONS,2016_11
4092,MENTIONS,2006_4
4099,MENTIONS,2002_12
4108,MENTIONS,2022_39
4122,MENTIONS,2023_23
4124,MENTIONS,2015_7
4140,MENTIONS,2022_39
4147,MENTIONS,2004_0
4157,MENTIONS,2016_11
4157,MENTIONS,2017_0
4158,MENTIONS,2023_5
4176,MENTIONS,2002_12
4177,MENTIONS,2009_0
4187,MENTIONS,2003_2
4187,MENTIONS,2017_0
4201,MENTIONS,2016_11
4215,MENTIONS,2002_12
4219,MENTIONS,2016_11
4226,MENTIONS,2016_11
4235,MENTIONS,2022_39
4238,MENTIONS,2002_12
4259,MENTIONS,2021_1
4265,MENTIONS,2016_2
4285,MENTIONS,2016_7
4324,MENTIONS,2022_39
4326,MENTIONS,2022_39
4368,MENTIONS,2016_11
4369,MENTIONS,2016_11
4369,MENTIONS,2017_0
4369,MENTIONS,2020_29
4373,MENTIONS,2020_29
4377,MENTIONS,2008_3
4377,MENTIONS,2012_5
4381,MENTIONS,2016_1
4381,MENTIONS,2022_39
4389,MENTIONS,2016_11
4397,MENTIONS,2009_0
4398,MENTIONS,2009_0
4398,MENTIONS,2021_39
4423,MENTIONS,2016_1
4448,MENTIONS,2009_0
4459,MENTIONS,2022_35
4468,MENTIONS,2022_39
4477,MENTIONS,2002_0
4479,MENTIONS,2016_11
4502,MENTIONS,2007_2
4522,MENTIONS,2004_0
4545,MENTIONS,2005_6
4560,MENTIONS,2016_7
4569,MENTIONS,2016_7
4572,MENTIONS,2010_4
4582,MENTIONS,2022_39
4588,MENTIONS,2016_11
4610,MENTIONS,2022_11
4611,MENTIONS,2009_0
4641,MENTIONS,2022_39
4643,MENTIONS,2006_5
4646,MENTIONS,2022_39
4647,MENTIONS,2006_5
4663,MENTIONS,2022_39
4670,MENTIONS,2004_0
4684,MENTIONS,2022_39
4703,MENTIONS,2004_0
4703,MENTIONS,2020_8
4722,MENTIONS,2006_8
4723,MENTIONS,2023_6
4736,MENTIONS,2009_0
4741,MENTIONS,2009_0
4744,MENTIONS,2022_39
4748,MENTIONS,2013_10
4758,MENTIONS,2002_12
4789,MENTIONS,2013_10
4800,MENTIONS,2022_39
4807,MENTIONS,2022_39
4809,MENTIONS,2022_39
4812,MENTIONS,2022_39
4825,MENTIONS,2009_0
4849,MENTIONS,2009_0
4852,MENTIONS,2022_5
4878,MENTIONS,2016_11
4889,MENTIONS,2012_5
4889,MENTIONS,2020_29
4893,MENTIONS,2022_5
