Company,BELONGS_TO_INDUSTRY_OF,Industry
0000723254,BELONGS_TO_INDUSTRY_OF,2320
0001831915,BELONGS_TO_INDUSTRY_OF,3826
0001596783,BELONGS_TO_INDUSTRY_OF,2834
0000858470,BELONGS_TO_INDUSTRY_OF,1311
0001590717,BELONGS_TO_INDUSTRY_OF,6798
0000026058,BELONGS_TO_INDUSTRY_OF,3672
0001058290,BELONGS_TO_INDUSTRY_OF,7371
0001755672,BELONGS_TO_INDUSTRY_OF,0100
0001298675,BELONGS_TO_INDUSTRY_OF,6798
0001488813,BELONGS_TO_INDUSTRY_OF,6022
0002027317,BELONGS_TO_INDUSTRY_OF,6500
0000025232,BELONGS_TO_INDUSTRY_OF,6798
0000354647,BELONGS_TO_INDUSTRY_OF,6022
0000278166,BELONGS_TO_INDUSTRY_OF,2451
0001376139,BELONGS_TO_INDUSTRY_OF,2911
0001169561,BELONGS_TO_INDUSTRY_OF,7372
0000064803,BELONGS_TO_INDUSTRY_OF,5912
0000093410,BELONGS_TO_INDUSTRY_OF,2911
0000026324,BELONGS_TO_INDUSTRY_OF,3590
0001567683,BELONGS_TO_INDUSTRY_OF,4911
0001628369,BELONGS_TO_INDUSTRY_OF,6500
0001035201,BELONGS_TO_INDUSTRY_OF,4941
0001569345,BELONGS_TO_INDUSTRY_OF,7372
0000025445,BELONGS_TO_INDUSTRY_OF,3490
0001070985,BELONGS_TO_INDUSTRY_OF,6798
0001061983,BELONGS_TO_INDUSTRY_OF,2834
0001590895,BELONGS_TO_INDUSTRY_OF,7011
0000715957,BELONGS_TO_INDUSTRY_OF,4911
0000027904,BELONGS_TO_INDUSTRY_OF,4512
0000026780,BELONGS_TO_INDUSTRY_OF,3714
0000916540,BELONGS_TO_INDUSTRY_OF,2070
0001467623,BELONGS_TO_INDUSTRY_OF,7372
0000029644,BELONGS_TO_INDUSTRY_OF,3564
0000846617,BELONGS_TO_INDUSTRY_OF,6021
0000315189,BELONGS_TO_INDUSTRY_OF,3523
0001622194,BELONGS_TO_INDUSTRY_OF,6798
0001364250,BELONGS_TO_INDUSTRY_OF,6798
0001825088,BELONGS_TO_INDUSTRY_OF,1531
0001669811,BELONGS_TO_INDUSTRY_OF,7380
0001393612,BELONGS_TO_INDUSTRY_OF,6141
0000029534,BELONGS_TO_INDUSTRY_OF,5331
0000854775,BELONGS_TO_INDUSTRY_OF,3576
