Company,HAS_EXCHANGE_MARKET,Exchange
0001728951,HAS_EXCHANGE_MARKET,NYSE
0001333986,HAS_EXCHANGE_MARKET,NYSE
0001101239,HAS_EXCHANGE_MARKET,Nasdaq
0000906107,HAS_EXCHANGE_MARKET,NYSE
0000033213,HAS_EXCHANGE_MARKET,NYSE
0000072741,HAS_EXCHANGE_MARKET,NYSE
0001877322,HAS_EXCHANGE_MARKET,NYSE
0000866706,HAS_EXCHANGE_MARKET,NYSE
0001590714,HAS_EXCHANGE_MARKET,NYSE
0001448893,HAS_EXCHANGE_MARKET,NYSE
0000920522,HAS_EXCHANGE_MARKET,NYSE
0000896156,HAS_EXCHANGE_MARKET,NYSE
0001551182,HAS_EXCHANGE_MARKET,NYSE
0000065984,HAS_EXCHANGE_MARKET,NYSE
0001370637,HAS_EXCHANGE_MARKET,Nasdaq
0001360901,HAS_EXCHANGE_MARKET,NYSE
0001711269,HAS_EXCHANGE_MARKET,Nasdaq
0001559865,HAS_EXCHANGE_MARKET,NYSE
0001099800,HAS_EXCHANGE_MARKET,NYSE
0001069157,HAS_EXCHANGE_MARKET,Nasdaq
0001109357,HAS_EXCHANGE_MARKET,Nasdaq
0000939767,HAS_EXCHANGE_MARKET,Nasdaq
0001297989,HAS_EXCHANGE_MARKET,Nasdaq
0000918646,HAS_EXCHANGE_MARKET,NYSE
0000746515,HAS_EXCHANGE_MARKET,NYSE
0001324424,HAS_EXCHANGE_MARKET,Nasdaq
0001495932,HAS_EXCHANGE_MARKET,Nasdaq
0000851520,HAS_EXCHANGE_MARKET,Nasdaq
0001289490,HAS_EXCHANGE_MARKET,NYSE
0001078271,HAS_EXCHANGE_MARKET,Nasdaq
0001710155,HAS_EXCHANGE_MARKET,Nasdaq
0000876523,HAS_EXCHANGE_MARKET,Nasdaq
0000037996,HAS_EXCHANGE_MARKET,NYSE
0001472787,HAS_EXCHANGE_MARKET,NYSE
0001539838,HAS_EXCHANGE_MARKET,Nasdaq
0000815556,HAS_EXCHANGE_MARKET,Nasdaq
0001519751,HAS_EXCHANGE_MARKET,NYSE
0001649749,HAS_EXCHANGE_MARKET,NYSE
0000811589,HAS_EXCHANGE_MARKET,Nasdaq
0001057706,HAS_EXCHANGE_MARKET,NYSE
0001562528,HAS_EXCHANGE_MARKET,NYSE
0000712537,HAS_EXCHANGE_MARKET,NYSE
0000840489,HAS_EXCHANGE_MARKET,Nasdaq
0000887936,HAS_EXCHANGE_MARKET,NYSE
0001650132,HAS_EXCHANGE_MARKET,NYSE
0000831259,HAS_EXCHANGE_MARKET,NYSE
